AnimalID,Age,Nutrients,Animal,Exp,t h a1,t h t1,t h t2,t h i,h h a1,h h t1,h h t2,h h i,t bwm a1,t bwm t1,t bwm t2,t bwm i,h bwm a1,h bwm t1,h bwm t2,h bwm i,pm a1,pm t1,pm t2,pm i,g a1,g t1,g t2,g i
CMFLIM10 Day7 AL Animal2,7,AL,2,CMFLIM10,0.633185899,0.601586,3.293044,6034.932111,0.495623296,0.6883125,4.396401,17561.8332,0.746103522,0.523057,2.8942715,12233.4088,0.791971203,0.5069,2.842633,6007.438964,0.471372116,0.65897,4.240469,17952.68571,0.66212241,0.606242,2.7391175,5327.04101
CMFLIM10 Day7 AL Animal3,7,AL,3,CMFLIM10,0.540255034,0.7900765,4.112243,6641.25665,0.622634328,0.687208,3.446447,4171.079553,0.67366939,0.696711,3.1935045,2460.316891,0.73501415,0.5863925,3.0082375,2566.794754,0.681951783,0.618333,3.2380175,3678.227291,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day7 AL Animal3,7,AL,3,CMFLIM14,0.702061614,0.5629765,3.07142,6118.260324,0.75496827,0.488326,2.8143475,16871.38201,0.75981107,0.5064585,2.6798525,3297.411047,0.799854396,0.494723,2.493211,16478.88897,0.723815581,0.54569,2.57719,17785.05534,0.666801442,0.7088675,3.1213655,4684.106196
CMFLIM10 Day7 AL Animal4,7,AL,4,CMFLIM10,0.771535902,0.4486745,2.497834,10485.47987,0.717327136,0.498743,2.6140395,1783.40714,0.761591949,0.5798535,2.7804905,4597.126262,0.7696946,0.5800215,2.7159165,1900.330718,0.709428888,0.548678,2.4371705,2676.567657,0.699190806,0.5826055,2.798771,5132.400649
CMFLIM14 Day7 AL Animal4,7,AL,4,CMFLIM14,0.749969635,0.4858355,2.7051505,14370.78867,0.786661078,0.4796275,2.651201,8722.435487,0.791634901,0.5041075,2.632416,7993.239368,0.789874931,0.61794,2.8935725,7710.493761,0.749210239,0.5549215,2.7373535,13024.50063,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day7 AL Animal5,7,AL,5,CMFLIM10,#N/A,#N/A,#N/A,#N/A,0.667700053,0.5681675,2.9177145,5041.333497,0.697204424,0.709761,3.411315,7859.276113,0.748122557,0.568857,2.7466545,3975.541972,0.697970351,0.577166,2.8306025,5431.609782,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day7 AL Animal5,7,AL,5,CMFLIM14,0.61420435,0.643136,3.9052395,4661.821538,0.500661152,0.6916385,4.1582965,7049.978163,0.62427846,0.6803285,4.552979,3693.653202,0.739892795,0.596628,2.8429725,4318.655473,#N/A,#N/A,#N/A,#N/A,0.609842742,0.6113425,3.414702,4897.365214
CMFLIM14 Day7 AL Animal6,7,AL,6,CMFLIM14,#N/A,#N/A,#N/A,#N/A,0.683858939,0.6135255,3.0689895,4321.94942,#N/A,#N/A,#N/A,#N/A,0.757520511,0.536754,2.9461385,4653.117508,0.668190839,0.6444975,3.731914,5066.379218,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day7 AL Animal7,7,AL,7,CMFLIM14,0.722842395,0.530687,2.730173,13463.09312,0.712175846,0.5335235,2.7570925,4486.662809,0.790486829,0.4961035,2.5601195,13407.00064,0.727505702,0.6050715,2.784613,4063.363109,0.746238041,0.5564125,2.7786805,5723.80099,0.649099728,0.634701,3.364378,7606.567252
CMFLIM10 Day7 AL Animal8,7,AL,8,CMFLIM10,0.51084634,0.9008115,4.20122,12449.56251,0.430727154,1.4285235,6.22886,9964.381421,0.676840203,0.7726505,3.579077,3406.56948,0.648577954,0.6395755,3.276191,7809.638382,0.416410832,0.7288385,4.5176195,8828.994291,#N/A,#N/A,#N/A,#N/A
